Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
AT2018hrg_20181103_P60_v1.ascii,AT2018hrg_20181103_P60_v1_10,II,-0.000152,II/1999em/LRIS+1999-11-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.74457693,0.2554231,-2451482.0,1.8
SN2017iuk_20181204_Keck1_v1.ascii,SN2017iuk_20181204_Keck1_v1_10,Ib,0.0368,Ib/2014C/LRIS+2014-11-20 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.118856214,0.8811438,-2456669.0,2.0
ZTF17aaajnki_20180320_P60_v1.ascii,ZTF17aaajnki_20180320_P60_v1_10,IIn,0.001113,IIn/2010jl/KAST+2011-03-31 04:16:19.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.5327299,0.4672701,-2455468.0,0.8
ZTF17aaajnki_20180320_P60_v2.ascii,ZTF17aaajnki_20180320_P60_v2_10,IIn,0.001113,IIn/2010jl/KAST+2011-05-12 04:39:21.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.5357351,0.46426496,-2455466.0,0.2
ZTF17aaajnki_20180320_P60_v2.ascii,ZTF17aaajnki_20180320_P60_v2_10,IIn,0.001007,IIn/2010jl/KAST+2011-05-12 04:39:21.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.5416524,0.4583476,-2455466.0,0.2
ZTF17aaajnki_20180320_P60_v2.ascii,ZTF17aaajnki_20180320_P60_v2_20,IIn,0.001113,IIn/2010jl/KAST+2011-03-31 04:16:19.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.575945,0.42405495,-2455468.0,0.4
ZTF17aaajnki_20180320_P60_v2.ascii,ZTF17aaajnki_20180320_P60_v2_20,IIn,0.001007,IIn/2010jl/KAST+2011-05-12 04:39:21.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.44083616,0.5591638,-2455466.0,1.0
ZTF17aaaobyl_20180826_P60_v2.ascii,ZTF17aaaobyl_20180826_P60_v2_10,II-flash,0.07,II-flash/2014cn_early/GMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.8953967,0.1046033,,2.0
ZTF17aaapufz_20190304_P200_v1.ascii,ZTF17aaapufz_20190304_P200_v1_10,II,0.0027405,II/2016esw/KAST+2016-08-27 05:18:14.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.53130424,0.46869576,-2457600.0,2.0
ZTF17aaaukqn_20180904_P60_v1.ascii,ZTF17aaaukqn_20180904_P60_v1_10,Ia-rapid,0.0,Ia-rapid/2002bj/LRIS+2002-03-07 07:29:17.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.5421823,0.45781767,-2452317.0,2.0
ZTF17aaawgkc_20180822_P60_v1.ascii,ZTF17aaawgkc_20180822_P60_v1_10,II,0.11,II/2014G/KAST+2014-01-23 09:28:48.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.8809265,0.119073495,-2456630.0,2.0
ZTF17aaayjzy_20191214_P60_v1.ascii,ZTF17aaayjzy_20191214_P60_v1_10,IIn,0.0483,IIn/2005cp/DBSP+2006-01-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.14050812,0.8594919,-2453559.0,2.0
ZTF17aaazdba_20190224_P60_v1.ascii,ZTF17aaazdba_20190224_P60_v1_10,II,0.0209,II/2013ej/HET-LRS+2013-08-01 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.11075623,0.8892438,-2456508.0,2.0
ZTF17aaazdba_20190303_P60_v1.ascii,ZTF17aaazdba_20190303_P60_v1_10,II-flash,0.0231,II-flash/2014cn_early/GMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.6691933,0.33080667,,-0.6
ZTF17aaazdba_20190304_P200_v1.ascii,ZTF17aaazdba_20190304_P200_v1_10,SLSN-I,0.0209,SLSN-I/2017egm/ALFOSC+2017-05-30 21:50:24.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.7428607,0.2571393,-2457902.0,-1.8
ZTF17aaazdba_20190304_P60_v1.ascii,ZTF17aaazdba_20190304_P60_v1_10,II-flash,0.0231,II-flash/2014cn_early/GMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.7116222,0.28837782,,-0.8
ZTF17aaazdba_20190309_Gemini_N_v2.ascii,ZTF17aaazdba_20190309_Gemini_N_v2_10,IIb-flash,0.0209,IIb-flash/2013cu_early/DEIMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.16799638,0.8320036,,-2.0
ZTF17aaazdba_20190310_DCT_v1.ascii,ZTF17aaazdba_20190310_DCT_v1_10,TDE H+He,0.0209,TDE H+He/ASASSN-14li/DIS+2014-12-02 12:08:44.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.23392703,0.766073,-2456940.0,0.0
ZTF17aaazdba_20190315_P60_v1.ascii,ZTF17aaazdba_20190315_P60_v1_10,Ibn,0.0231,Ibn/2005la/DEIMOS+2005-12-04 15:37:26.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.22046785,0.77953213,-2453684.0,1.6
ZTF17aaazdba_20190316_NOT_v1.ascii,ZTF17aaazdba_20190316_NOT_v1_10,II-flash,0.0231,II-flash/2014cn_early/GMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.18320331,0.8167967,,2.0
ZTF17aaazdba_20190319_P60_v1.ascii,ZTF17aaazdba_20190319_P60_v1_10,Ibn,0.0209,Ibn/2005la/DEIMOS+2005-12-04 15:37:26.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.29483494,0.7051651,-2453684.0,2.0
ZTF17aaazdba_20190323_Gemini_N_v1.ascii,ZTF17aaazdba_20190323_Gemini_N_v1_10,IIb-flash,0.0209,IIb-flash/2013cu_early/DEIMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.1768776,0.8231224,,-2.0
ZTF17aaazdba_20190324_P60_v1.ascii,ZTF17aaazdba_20190324_P60_v1_10,Ibn,0.0209,Ibn/2005la/DEIMOS+2005-12-04 15:37:26.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.29289117,0.7071088,-2453684.0,2.0
